[ID],[CarMadeYear],[Car Name],[Features],[Features_2],[Features_3],[Features_4],[Features_5],[Features_6],[Features_7],[Features_8],[Features_9],[Features_10],[Features_11],[Features_12],[Features_13],[Features_14],[Features_15],[Features_16],[Standard Equipment],[Standard Equipment_2],[Standard Equipment_3],[Standard Equipment_4],[Standard Equipment_5],[Standard Equipment_6],[Standard Equipment_7],[Standard Equipment_8],[Standard Equipment_9],[Standard Equipment_10],[Standard Equipment_11],[Standard Equipment_12],[Standard Equipment_13],[Standard Equipment_14],[Standard Equipment_15],[Standard Equipment_16],[Standard Equipment_17],[Standard Equipment_18],[Standard Equipment_19],[Standard Equipment_20],[Standard Equipment_21],[Standard Equipment_22],[Standard Equipment_23],[Standard Equipment_24],[Standard Equipment_25],[Standard Equipment_26],[Standard Equipment_27],[Standard Equipment_28],[Standard Equipment_29],[Standard Equipment_30],[Standard Equipment_31],[Standard Equipment_32],[Standard Equipment_33],[Standard Equipment_34],[Standard Equipment_35],[Standard Equipment_36],[Standard Equipment_37],[Standard Equipment_38],[Standard Equipment_39],[Standard Equipment_40],[Standard Equipment_41],[Standard Equipment_42],[Standard Equipment_43],[Standard Equipment_44],[Standard Equipment_45],[Standard Equipment_46],[Standard Equipment_47],[Standard Equipment_48],[Standard Equipment_49],[Standard Equipment_50],[Standard Equipment_51],[Standard Equipment_52],[Standard Equipment_53],[Standard Equipment_54],[Standard Equipment_55],[Standard Equipment_56],[Standard Equipment_57],[Standard Equipment_58],[Standard Equipment_59],[Standard Equipment_60],[Standard Equipment_61],[Standard Equipment_62],[Standard Equipment_63],[Standard Equipment_64],[Standard Equipment_65],[Standard Equipment_66],[Standard Equipment_67],[Standard Equipment_68],[Sellers Notes],[Dealer Name],[Dealer Address],[Image URL 1],[Image URL 2],[Price],[Mileage],[Fuel],[Body Style],[Engine],[Exterior Color],[Transmission],[Interior Color],[Stock #],[Drivetrain],[VIN],[Doors],[Wheelbase],[Page URL],, , 
120,2012,2012 Honda Civic EX-L,4 Wheel Disc Brakes,ABS Brakes,Air Conditioning,AM/FM Radio,Brake Assist,Bumpers: Body-Color,CD Player,Delay-Off Headlights,Door Mirrors: Body-Color,Driver Door Bin,Driver Vanity Mirror,Dual Front Impact Airbags,Dual Front Side Impact Airbags,Electronic Stability,Front Beverage Holders,Front Bucket Seats,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,,,,http://www.cstatic-images.com/phototab/DMI/87960/235677.jpg,http://www.cstatic-images.com/phototab/DMI/87960/235677.02.jpg,"$22,631 ","12,176",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Taffeta White,5-Speed Automatic,,235677,FWD,19XFB2F9XCE300081,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86239563&listingRecNum=114&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
121,2012,2012 Honda Civic EX NAVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,390 ","1,563",,,1.8L,Alabaster Silver Met...,5-Speed Auto,Stone,I00133,,19XFB2F85CE021502,4,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87564130&listingRecNum=129&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
122,2011,2011 Honda Civic LX,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,821,AM/FM stereo,Anti-theft alarm system,Audio system security,Bucket front seats,Cargo area light,Center Console: Full with covered storage,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Curb weight: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,310 ","23,458",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Blue,5-Speed Automatic,Gray,HPH3350,FWD,19XFA1F5XBE011002,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87795354&listingRecNum=130&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
123,2011,2011 Honda Civic Si,Air Conditioning,Alarm,Alloy Wheels,AM/FM Stereo,Auxiliary Power Oulet,Bucket Seats,CD Changer,CD Player,Child Safety Lock,Driver Air Bag,Electronic Stability Control,Emergency Trunk Release,Fog Lamps,Keyless Entry,Navigation System,Passenger Air Bag,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspe,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,"Seller's Notes: ONE OF A KIND,2011 CIVIC SI SEDAN MANUAL WITH 20K MILES, POWER WINDOWS, DOORS, LOCKS, MIRRORS, NAVIGATION SYSTEM, ALLOY WHEELS, SPOILER,TRADE INS AND PRE PURCHASE INSPECTION WELCOME,FOR PERSONAL ASSISTANCE PLEASE REACH BEN 877-812-2603 ***** SE HABLA ESPANOL ***** WORLD WIDE SHIPPING AND EXTENDED WARRANTY AVAILABLE. FINANCE AVAILABLE WITH RATES AS LOW AS 2.9% (W.A.C.) SPECIAL FINANCE AND FIRST TIME BUYERS PROGRAM AVAILABLE. Visit ourwebsite at www.iandgcars.com to view more pictures or Apply online. FINANCIAMIENTO DISPONIBLE EN ESTE Y CUALQUIERA DE NUESTROS VEHICULOS EN INVENTARIO Y RECUERDE QUE NO LICENCIA O SEGURO SOCIAL ""NOSOTROS LOS PODEMOS AYUDAR"" Please give us a call at 877-812-2603 . Thanks",,,http://www.cstatic-images.com/phototab/DMI/204951/JL0602.jpg,http://www.cstatic-images.com/phototab/DMI/204951/JL0602.02.jpg,"$22,500 ","20,796",Gasoline,Sedan,2.0L I4 16V MPFI DOHC,Silver Black,6-Speed Manual,Black,JL0602,FWD,2HGFA5E58BH700602,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87004398&listingRecNum=122&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
124,2012,2012 Honda Civic EX-L,Alloy Wheels,AM/FM Radio,Anti-Lock Brakes,Aux Audio Input,CD Player,Child Safety Door Locks,Driver Airbag,Electronic Brake Assistance,Front Air Dam,Front Side Airbag,Heated Mirrors,Heated Seats,Interval Wipers,Keyless Entry,Leather Seats,Leather Steering Wheel,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: #CL3080 Print this ad out, stop by the receptionist and ask for the Internet Department.",,,http://www.cstatic-images.com/phototab/DMI/26485/P4334B.jpg,http://www.cstatic-images.com/phototab/DMI/26485/P4334B.02.jpg,"$22,580 ","9,614",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Gray,5-Speed Automatic,Gray,P4334B,FWD,2HGFB2F99CH508605,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85445235&listingRecNum=119&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
125,2012,2012 Honda Civic EX-L,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cstatic-images.com/phototab/DMI/80305/16616.jpg,http://www.cstatic-images.com/phototab/DMI/80305/16616.02.jpg,"$22,495 ","1,568",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Gray,5-Speed Automatic,Gray,16616,FWD,2HGFB2F9XCH530774,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87395899&listingRecNum=123&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
126,2011,2011 Honda Civic Si,350-Watt 7-Speaker Sound System,4-Wheel Disc Brakes,Air Conditioning W/Air Filtration System,Driver & Front Passenger Seat Belt Reminder,Driver Seat W/Manual Height Adjustment,Dual-Stage Dual-Threshold Front Airbags,Electric Rack-And-Pinion Steering,Electronic Brake Distribution & Brake Assist,Fog Lights,Front Side Airbags,Fuel & Coolant Temperature Indicators,Leather-Trimmed Interior,Maintenance Minder System,Mp3/Auxiliary Input Jack,One-Touch Power Moonroof W/Tilt Feature,Outboard Latch Child Safety Seat Anchors,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspe,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,"Seller's Notes: -CERTIFIED!- -CARFAX ONE OWNER- -LEATHER- -SUNROOF- This certified Gray 2011 HONDA CIVIC SI looks great and is a Carfax One Owner vehicle which adds a lot of value! Please visit our website to view the complete PureCars Value Report, Vehicle History Report and to learn more about this CIVIC at www.McDavidHondaIrving.com . Give us a call to learn more about this CIVIC and to schedule a hassle free test drive! We look forward to earning your business and showing you this CIVIC. We are located at: 3700 W Airport Fwy, Irving, TX, 75062 Contact us at 888-391-8846 for your No Hassle Price and schedule your appointment today. Excellent selection of Pre-Owned vehicles and Honda Certified Pre-Owned. 5x Honda President Award Winning Dealership! '98,'03,'06,'07&'08",,,http://www.cstatic-images.com/phototab/DMI/21562/BH701945.jpg,http://www.cstatic-images.com/phototab/DMI/21562/BH701945.02.jpg,"$22,494 ","12,742",Gasoline,Sedan,2.0L I4 16V MPFI DOHC,Gray,6-Speed Manual,Black,BH701945,FWD,2HGFA5E5XBH701945,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=83150997&listingRecNum=124&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
127,2012,2012 Honda Civic Si,6 Speed,Air Conditioning,Alloy Wheels,Anti-Lock Brakes,CD Player,Manufacturer Certified,Power Door Locks,Rear Spoiler,Sun Or Moon Roof,,,,,,,,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Cargo area light,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and r,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 22,Fuel Consumption: Highway: 31,Fuel Type: Premium unleaded,Headlights off auto delay,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look door trim,MP3 player,Multi-link rear suspension,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,"Seller's Notes: CERTIFIED! ONE OWNER! THIS SI HAS 201 HP, LEATHER-WRAPPED STEERING WHEEL AND SHIFT KNOB, ALUMINUM PEDAL PLATES, 17 ALLOY WHEELS, MOON ROOF, INTEGRATED FRONT FOG LIGHTS, AND 350-WATT AUDIO SYSTEM! Your Honda Certified Used Car is backed by one of the most extensive used-car warranties in the business. Powertrain Systems and Components Coverage up to 7 years or 100,000 miles from the date the vehicle was first registered under the Honda New Car Limited Warranty. Thats an extension of up to four years of the original new-car coverage. Non-Powertrain Systems and Components Coverage: For 12 months or 12,000 miles beyond the expiration date of the standard 3-year/36,000-mile new-car warranty (except normal wear and tear, paint and upholstery). Deductible: No deductible on covered repairs made at any Honda dealer nationwide. Transferable: Yes, between private parties. Every Certified Honda goes through a 150 point inspection by our trained technicians before we put our car on the lot for sale. on taking care of our customers! We have been recognized by Honda for the past 11 years for the Honda President's Award! We have a large selection of Preowned Hondas, Service loaners for our customers and the best buying experience you'll ever have. Come see for yourself why we are ""The"" place for a Honda in North Carolina!",Flow Honda,2600 Peters Creek Parkway Winston Salem NC 27127 (Map),http://www.cstatic-images.com/phototab/DMI/107010/H7645A.jpg,http://www.cstatic-images.com/phototab/DMI/107010/H7645A.02.jpg,"$22,521 ","10,049",Gasoline,Sedan,2.4L I4 16V MPFI DOHC,White,6-Speed Manual,,H7645A,FWD,2HGFB6E58CH700295,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87236306&listingRecNum=121&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
128,2012,2012 Honda Civic EX-L,4-Wheel Disc Brakes,6 Speakers,ABS Brakes,Air Conditioning,AM/FM Radio,Brake Assist,Bumpers: Body-Color,CD Player,Clean Carfax One Owner,Delay-Off Headlights,Driver Door Bin,Driver Vanity Mirror,Dual Front Impact Airbags,Dual Front Side Impact Airbags,Electronic Stability Control,Four Wheel Independent Suspension,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: Honda Certified! 100K Mile Warranty! Clean Carfax! One Owner! If you've been thirsting for the perfect 2012 Honda Civic, well stop your search right here. This is the gas-saving vehicle that definitely fits your budget. Honda Certified Pre-Owned means you not only get the reassurance of a 12mo/12,000 mile limited warranty, but also up to a 7yr/100k mile powertrain warranty, a 150-point inspection/reconditioning, and and a complete CARFAX vehicle history report. Buying a car with numerous previous owners can be a little risky, but no worries here on this terrific one-owner car.",,,http://www.cstatic-images.com/phototab/DMI/2734/0095924A.jpg,http://www.cstatic-images.com/phototab/DMI/2734/0095924A.02.jpg,"$22,491 ","1,766",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Silver,5-Speed Automatic,,0095924A,FWD,19XFB2F91CE316685,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85421166&listingRecNum=125&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
129,2012,2012 Honda Civic EX-L,100k Warranty Included In Price.,159pt. Honda Certifed Vehicle Inspection Included!,4-Wheel Disc Brakes,6 Speakers,7 Year,ABS Brakes,Air Conditioning,Alloy Wheels,AM/FM Radio,Bluetooth,Brake Assist,Bumpers: Body-Color,Carfax 1-Owner,CD Player,Clean Carfax,Delay-Off Headlights,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: Civic EX-L, Honda Certified, 4D Sedan, 5-Speed Automatic, 159pt. Honda Certifed Vehicle Inspection Included!, 7 YEAR,100K WARRANTY included in price., ALLOY WHEELS, Bluetooth, Carfax 1-OWNER, CLEAN CARFAX, EXTRA CLEAN, HONDA CERTIFIED included in price., JUST SERVICED, LEATHER, LOCAL TRADE, and NON SMOKER. How alluring is this beautiful, one-owner 2012 Honda Civic? Honda Certified Pre-Owned means you not only get the reassurance of a 12mo/12,000 mile limited warranty, but also up to a 7yr/100k mile powertrain warranty, a 150-point inspection/reconditioning, and and a complete CARFAX vehicle history report. This outstanding Civic is the car with everything you'd expect from Honda, and THEN some. At The ALL NEW Scott Clark Honda we are committed to making your car buying experience easy! Call or email us today to schedule a test drive, or simply stop bye! Remember, We will buy your Car, even if you dont buy Ours!",,,http://www.cstatic-images.com/phototab/DMI/207436/H12011A.jpg,http://www.cstatic-images.com/phototab/DMI/207436/H12011A.02.jpg,"$22,486 ","2,014",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,,5-Speed Automatic,,H12011A,FWD,19XFB2F92CE017920,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87214354&listingRecNum=127&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D1,,,
